Phenol/chloroform	B-Method
extraction
	I-Method

Dilute	B-Action
your	O
nucleic	B-Reagent
acid	I-Reagent
sample	I-Reagent
to	O
100–700	B-Amount
µL	I-Amount
or	O
divide	B-Action
your	O
samples	B-Reagent
into	O
tubes	B-Location
such	O
that	O
you	O
have	O
no	B-Modifier
more	I-Modifier
than	I-Modifier
700	B-Amount
µL	I-Amount
per	B-Modifier
tube.
	B-Location

Add	B-Action
an	O
equal	B-Amount
volume	I-Amount
of	O
phenol	B-Reagent
to	O
the	O
tube,	B-Location
vortex	B-Action
vigorously	B-Modifier
to	O
mix	B-Action
the	O
phases.
	B-Reagent

Spin	B-Action
in	O
a	O
microfuge	B-Device
at	O
top	B-Speed
speed	I-Speed
for	O
1–2	B-Time
min	I-Time
to	O
separate	B-Action
the	O
phases.
	B-Reagent

Remove	B-Action
the	O
aqueous	B-Reagent
phase	I-Reagent
to	O
a	O
new	B-Location
tube,	I-Location
being	B-Modifier
careful	I-Modifier
not	I-Modifier
to	I-Modifier
transfer	B-Action
any	B-Modifier
of	O
the	O
protein	B-Reagent
at	O
the	O
phase	B-Location
interface.
	I-Location

Repeat	O
the	O
phenol	B-Reagent
extraction	B-Action
from	O
step	O
4.
	O

Repeat	O
the	O
phenol	B-Reagent
extraction	B-Action
from	O
step	O
4.
	O

Extract	B-Action
the	O
sample	B-Reagent
with	O
an	O
equal	B-Amount
volume	I-Amount
of	O
chloroform:isoamyl	B-Reagent
alcohol	I-Reagent
to	O
remove	B-Action
any	B-Modifier
trace	B-Reagent
phenol.
	I-Reagent

Extract	B-Action
the	O
sample	B-Reagent
again	B-Modifier
with	O
an	O
equal	B-Amount
volume	I-Amount
of	O
chloroform:isoamyl	B-Reagent
alcohol	I-Reagent
to	O
remove	B-Action
any	B-Modifier
trace	B-Reagent
phenol.
	I-Reagent

Precipitate	B-Action
the	O
nucleic	B-Reagent
acid.
	I-Reagent



