Peroxide	B-Method
Value	I-Method
Method	I-Method

Weigh	B-Action
0.01	B-Amount
mg	I-Amount
oil	B-Reagent
into	O
test	B-Location
tube	I-Location
and	O
record	B-Action
exact	B-Modifier
weight	B-Measure-Type
.	O

Solid	B-Modifier
fat	B-Reagent
should	O
be	O
melted	B-Action
first	O
.	O

Samples	B-Reagent
with	O
high	O
PV	B-Measure-Type
may	O
need	O
to	O
be	O
serially	B-Modifier
diluted	B-Action
in	O
working	B-Reagent
solvent	I-Reagent
.	O

Make	O
sure	O
to	O
record	B-Action
dilution	B-Measure-Type
factor	I-Measure-Type
if	O
so	O
.	O

Up	B-Modifier
to	I-Modifier
0.10	B-Amount
g	I-Amount
can	O
be	O
used	O
for	O
samples	B-Reagent
with	O
very	O
low	O
PV	B-Measure-Type
.	O

Immediately	B-Modifier
add	B-Action
3	B-Amount
mL	I-Amount
working	B-Reagent
solvent	I-Reagent
and	O
vortex	B-Action
to	O
dissolve-make	B-Action
sure	O
it	B-Mention
is	O
fully	B-Modifier
dissolved	I-Modifier
.	O

Prepare	B-Action
a	O
blank	B-Modifier
tube	B-Location
(	O
solvent	B-Reagent
in	O
place	O
of	O
sample	B-Reagent
)	O
.	O

Add	B-Action
15	B-Amount
μl	I-Amount
ammonium	B-Reagent
thiocyanate	I-Reagent
to	O
all	B-Modifier
tubes	B-Location
,	O
and	O
vortex	B-Action
2-4	B-Time
sec	I-Time
.	O

Add	B-Action
15	B-Amount
μl	I-Amount
ferrous	B-Reagent
chloride	I-Reagent
to	O
all	B-Modifier
tubes	B-Location
,	O
and	O
vortex	B-Action
2-4	B-Time
sec	I-Time
.	O

Let	B-Action
sit	I-Action
at	O
room	B-Temperature
temperature	I-Temperature
20	B-Time
min	I-Time
.	O

Keep	B-Action
out	I-Action
of	O
bright	O
light	O
.	O

Read	B-Action
absorbance	B-Device
on	O
spectrophotometer	B-Device
set	B-Action
to	O
510	B-Size
nm	I-Size
.	O

Determine	B-Action
PV	B-Measure-Type
using	O
the	O
following	O
calculations	O
:	O

a	O
.	O
PV	B-Measure-Type
(	I-Measure-Type
meq	B-Reagent
peroxide	I-Reagent
per	I-Reagent
kg	O
sample	B-Amount
)	B-Reagent
=	O
(	O
As	O
–	O
Ab	O
)	O
x	O
m	O
/	O
(	O
55.84	O
x	O
m0	O
x	O
2	O
)	O
As	O
=	O
absorbance	B-Measure-Type
of	I-Measure-Type
sampleAb	B-Reagent
=	O
absorbance	B-Measure-Type
of	I-Measure-Type
blankm	B-Reagent
=	I-Reagent
slope	O
of	O
standard	O
curvem0	O
=	O
mass	B-Measure-Type
in	I-Measure-Type
grams	B-Amount
of	I-Amount
the	O
sample	B-Reagent
55.84	I-Reagent
=	O
atomic	B-Measure-Type
weight	I-Measure-Type
of	I-Measure-Type
iron	B-Reagent



