Fixation	B-Method
of	O
marine	B-Reagent
samples	I-Reagent
for	O
flow	B-Action
cytometry	I-Action
sorting	I-Action

Prefilter	B-Action
seawater	B-Reagent
sample	I-Reagent
onto	O
200	B-Size
m	I-Size
mesh	B-Device
.	O

Add	B-Action
1	B-Amount
.	I-Amount
5	I-Amount
mL	I-Amount
of	O
prefiltered	B-Modifier
seawater	B-Reagent
sample	I-Reagent
to	O
a	O
2	B-Amount
mL	I-Amount
cryotube	B-Location
.	O

Add	B-Action
DMSO	B-Reagent
.	O

Add	B-Action
Pluronic	B-Reagent
facultative	B-Modifier
.	I-Modifier

Vortex	B-Action
.	O

Wait	B-Action
10	B-Time
min	I-Time
.	O

Flash	B-Action
freeze	I-Action
in	O
liquid	B-Location
nitrogen	I-Location
tank	I-Location



