Fractionation	B-Method
of	I-Method
Light	I-Method
and	I-Method
Heavy	I-Method
Mitochondria	I-Method
by	I-Method
Gradient	I-Method
Cushion	I-Method
(	O
FOCUS	B-Device
SubCell	I-Device
Kit	I-Device
)	O

Suspend	B-Action
the	O
mitochondrial	B-Reagent
pellet	I-Reagent
in	O
100	B-Amount
l	I-Amount
1X	B-Concentration
SubCell	B-Reagent
Buffer	I-Reagent
II	I-Reagent
.	O

Make	B-Action
a	O
step	B-Reagent
gradient	I-Reagent
by	O
adding	B-Action
200	B-Amount
l	I-Amount
SubCell	B-Reagent
Buffer	I-Reagent
V	O
to	O
a	O
centrifuge	B-Location
tube	I-Location
and	O
then	O
overlaying	B-Action
with	O
200	B-Amount
l	I-Amount
SubCell	B-Reagent
Buffer	I-Reagent
IV	I-Reagent
.	O

Gently	B-Modifier
float	B-Location
the	O
mitochondrial	B-Reagent
suspension	I-Reagent
on	O
the	O
surface	B-Location
of	O
the	O
step	B-Reagent
gradient	I-Reagent
.	O

Centrifuge	B-Action
the	O
gradient	B-Reagent
at	O
20,000x	B-Speed
g	I-Speed
for	O
20	B-Time
minutes	I-Time
.	O

Observe	B-Action
the	O
two	B-Numerical
white	B-Reagent
bands	I-Reagent
.	O

Carefully	B-Modifier
remove	B-Action
each	B-Modifier
band	B-Reagent
to	O
a	O
separate	B-Modifier
tube	B-Location
.	O

Dilute	B-Action
the	O
mitochondrial	B-Reagent
suspensions	I-Reagent
with	O
equal	B-Amount
volume	I-Amount
of	O
1X	B-Concentration
SubCell	B-Reagent
Buffer	I-Reagent
II	I-Reagent
.	O

Centrifuge	B-Action
the	O
tubes	B-Location
at	O
12,000x	B-Speed
g	I-Speed
for	O
15	B-Time
minutes	I-Time
and	O
discard	B-Action
the	O
supernatant	B-Reagent
.	O

Suspend	B-Action
the	O
mitochondrial	B-Reagent
pellets	I-Reagent
with	O
30	B-Amount
50	I-Amount
l	I-Amount
Working	B-Reagent
Mitochondria	I-Reagent
Storage	I-Reagent
Buffer	I-Reagent
and	O
keep	B-Action
the	O
suspensions	B-Reagent
on	O
ice	B-Location
before	O
downstream	B-Action
processing	I-Action
.	O

The	O
suspensions	B-Reagent
may	O
be	O
stored	B-Action
on	I-Action
ice	I-Action
up	I-Action
to	O
48	B-Time
hours	I-Time
.	O



